private_domain,dns_resolves,probe_status,http_status,final_url,page_title,probe_error,bl_scan_success,bl_final_url,bl_ddg_join_ads,bl_third_party_cookies,bl_canvas_fingerprinting,bl_session_recording,bl_key_logging,bl_fb_pixel,bl_google_analytics
letstravelfamily.com,True,live,200.0,https://www.letstravelfamily.com/,Family Travel Blog - Let's Travel Family,,True,https://www.letstravelfamily.com/,39.0,66.0,0.0,0.0,0.0,0.0,0.0
lifewayequipa.com,True,live,200.0,https://www.LIFEWAYEQUIPA.COM,EQUIPA,https: SSLError,False,,,,,,,,
linkcdn.to,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
loudwire.com,True,live,200.0,https://loudwire.com/,Loudwire,,True,https://loudwire.com/,72.0,145.0,0.0,0.0,0.0,0.0,1.0
lovemesomeprizes.com,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
lr-in.com,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
macaronigrill.com,True,live,200.0,https://www.macaronigrill.com/,Romano's Macaroni Grill Italian Restaurant,,True,https://www.macaronigrill.com/,12.0,16.0,0.0,0.0,0.0,1.0,1.0
mangahere.cc,True,network_filtered,200.0,http://wired.meraki.com/,Cisco Meraki,https: ConnectionError,True,http://m.mangahere.cc/,4.0,1.0,0.0,0.0,0.0,0.0,0.0
marcos.com,True,live,200.0,https://www.marcos.com/,Marco's Pizza Online Ordering,,True,https://www.marcos.com/,9.0,6.0,0.0,0.0,0.0,0.0,0.0
massagetherapy.com,True,live,200.0,https://www.massagetherapy.com/,Massage Therapy Information | Powered by Associated Bodywork & Massage Professionals,,True,https://www.massagetherapy.com/,3.0,8.0,0.0,0.0,0.0,0.0,0.0
medscape.com,True,live,200.0,https://www.medscape.com/,"Latest Medical News, Clinical Trials, Guidelines - Today on Medscape",,True,https://www.medscape.com/,25.0,43.0,0.0,1.0,0.0,1.0,1.0
metlife.com,True,live,200.0,https://www.metlife.com/,Insurance and Employee Benefits | MetLife,,True,https://www.metlife.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
microsoftonline.com,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
minutemedia-prebid.com,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
miqcommerce.com,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
mobiletime.net,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
mountzionfinancing.com,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
musio.co,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
mycreditcard.mobi,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
mygiftcardsplus.com,True,live,200.0,https://www.mygiftcardsplus.com/,MyGiftCardsPlus: Get cash back on gift cards purchases. Top-rated by customers,,True,https://www.mygiftcardsplus.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mytupperware.com,True,dead,,,,http: ConnectionError,False,,,,,,,,
neet.tv,True,http_error,404.0,https://neet.tv/,404 Not Found,,True,https://neet.tv/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nextmillmedia.com,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,
